Cname,Csn,Class,District,Department,Establishment,Num_member,Num_recruit,Activity_time,Homepage,Room,Csid
IVF,47,Undergraduate Clubs Union,Religion & Society,Religion,1986,50,1~,,http://www.ivf.or.kr,N13 #3119,20150531
Rookies,48,Undergraduate Clubs Union,Sport,Ball Sport,1986,40,16-20,TUE 22:00-22:30,https://www.facebook.com/kaistrookiez,N13 #3113,20150722
Aquila,49,Undergraduate Clubs Union,Sport,Ball Sport,2002,25,16-20,,,N13 #1113,20150880
Team Tu,50,Undergraduate Clubs Union,Sport,Ball Sport,2003,40,16-20,,,N13 #3120,20150531
HURRICANE,51,Undergraduate Clubs Union,Sport,Ball Sport,1981,38,21~,,,N13 #1101,20150722
EDGE,52,Undergraduate Clubs Union,Sport,Ball Sport,2002,35,16-20,,https://www.facebook.com/kaistedge,,20150880
K-BIRD,53,Undergraduate Clubs Union,Sport,Ball Sport,2006,72,21~,,,N13 #1111,20150531
KAIST Doolly,54,Undergraduate Clubs Union,Sport,Ball Sport,1986,40,11-15,,,,20150722
KISC,55,Undergraduate Clubs Union,Sport,Ball Sport,2011,45,11-15,,https://www.facebook.com/groups/5884858050,,20150880
STROKE,56,Undergraduate Clubs Union,Sport,Ball Sport,1986,70,16-20,,https://www.facebook.com/kaiststroke,,20150531
SlimDunk,57,Undergraduate Clubs Union,Sport,Ball Sport,2016,16,11-15,SUN 20:00-22:00,https://www.facebook.com/슬림덩크-247249732351451/,,20150722
Kumdofriends,58,Undergraduate Clubs Union,Sport,Life Sport,1988,18,11-15,,,N3 #107,20150880
Polar Bear,59,Undergraduate Clubs Union,Sport,Life Sport,2007,48,06-10,,https://www.facebook.com/judokaist,NULL,20150531
Ulala,60,Undergraduate Clubs Union,Sport,Life Sport,2013,38,11-15,,,N3 #105,20150722
Active Volcano,61,Undergraduate Clubs Union,Sport,Life Sport,1986,26,06-10,,https://www.facebook.com/kaistactivevolcano,N3 #103,20150880
KAIST Haidong Gumdo Club,62,Undergraduate Clubs Union,Sport,Life Sport,1995,17,06-10,,https://www.facebook.com/KAIST-해동검도회-363500057007463/,,20150531
KAKI,63,Undergraduate Clubs Union,Sport,Life Sport,2000,36,1~,,https://www.facebook.com/KaistKAKI,N13 #1114,20150722
Gukkoong,64,Undergraduate Clubs Union,Sport,Life Sport,2017,20,1~,WED 22:00-22:30,https://www.facebook.com/Gukkoong/,,20150880
Forest,65,Undergraduate Clubs Union,Academic,Science & Engineering,2017,21,06-10,MON 20:00-20:30,https://www.facebook.com/KAIST.forest,N13 #3117,20150531
ZILZU,66,Undergraduate Clubs Union,Academic,Science & Engineering,1999,20,11-15,,https://www.facebook.com/KAISTZILZU,N13 #3103,20150722
HAJE,67,Undergraduate Clubs Union,Academic,Science & Engineering,1993,30,1~,,haje.org,N12-2 #2106,20150880
GoN,68,Undergraduate Clubs Union,Academic,Science & Engineering,1999,40,11-15,,https://gon.kaist.ac.kr,N12 #3101,20150531
KAIST Mathematical Problem Solving Group,69,Undergraduate Clubs Union,Academic,Science & Engineering,1988,42,21~,MON 21:30-22:00,http://msquare.kaist.ac.kr,N13 #2111,20150722
KAIST Puple,70,Undergraduate Clubs Union,Academic,Science & Engineering,2011,43,16-20,,https://www.facebook.com/kaistpuple,N12 #3102,20150880
MR,71,Undergraduate Clubs Union,Academic,Science & Engineering,1986,60,16-20,,mr.kaist.ac.kr,N13 #3121,20150531
Run,72,Undergraduate Clubs Union,Academic,Science & Engineering,2004,47,1~,,https://kaist.run,N12 #2103,20150722
Freethinkers KAIST,73,Undergraduate Clubs Union,Academic,Liberal Arts,2011,15,~10,,https://www.facebook.com/freethinkingunion/,N12 #3102,20150880
ICISTS,74,Undergraduate Clubs Union,Academic,Liberal Arts,2005,40,16-20,,www.icists.org,N13-1 #202,20150531
KFAC,75,Undergraduate Clubs Union,Academic,Liberal Arts,2006,15,11-15,,https://www.kfac.kr,N13 #3116,20150531
VOK,76,Student Organization,Broadcast,,1986,,,,http://voki.kaist.ac.kr/,,20150722
KAIST Orchestra,77,Student Organization,Music,,1992,120,,,,W2 2F,20150531
Kainuri,78,Student Organization,KAIST Ambassador,,2006,,,,http://kainuri.kaist.ac.kr/,E11 #505,20150880
ELKA,79,Student Organization,Cheerleading,,2005,,,,http://elka.kaist.ac.kr/xe/,N13 #3122,20150722
